stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
RSCO2,"Robert Scott",,47.18687453,-1.45997600,,,0,RSCO,1
RSLI1,"Rousselière",,47.17565873,-1.51835430,,,0,RSLI,1
RSLI2,"Rousselière",,47.17550109,-1.51768252,,,0,RSLI,1
RSNB1,"Rosenberg",,47.23568862,-1.65981468,,,0,RSNB,2
RSNB2,"Rosenberg",,47.23559878,-1.65980796,,,0,RSNB,2
RSRA1,"Roseraie",,47.26079610,-1.52833053,,,0,RSRA,1
RSRA2,"Roseraie",,47.26061641,-1.52831754,,,0,RSRA,1
RTSC1,"Recteur Schmitt",,47.25222202,-1.55297564,,,0,RTSC,1
RTSC2,"Recteur Schmitt",,47.25187154,-1.55268559,,,0,RTSC,1
RTSC3,"Recteur Schmitt",,47.25223092,-1.55271173,,,0,RTSC,1
RTSC4,"Recteur Schmitt",,47.25240616,-1.55285676,,,0,RTSC,2
RTSC5,"Recteur Schmitt",,47.25312047,-1.55304100,,,0,RTSC,2
RTSC6,"Recteur Schmitt",,47.25275664,-1.55314681,,,0,RTSC,1
RUET1,"Ruette",,47.23355399,-1.51075885,,,0,RUET,1
RUET2,"Ruette",,47.23335669,-1.51127357,,,0,RUET,1
RVAN1,"Rond-Point de Vannes",,47.23011166,-1.57292030,,,0,RVAN,1
RVAN2,"Rond-Point de Vannes",,47.22975675,-1.57276213,,,0,RVAN,1
RVAN3,"Rond-Point de Vannes",,47.22957259,-1.57288090,,,0,RVAN,1
RVAN4,"Rond-Point de Vannes",,47.22978359,-1.57197075,,,0,RVAN,1
RVDI1,"Rivaudière",,47.22717663,-1.65071629,,,0,RVDI,1
RVDI2,"Rivaudière",,47.22710048,-1.65031394,,,0,RVDI,1
RVER1,"Roches Vertes",,47.18519466,-1.52406118,,,0,RVER,1
RVER2,"Roches Vertes",,47.18490744,-1.52456891,,,0,RVER,1
RZEE1,"Razée",,47.21476907,-1.46618508,,,0,RZEE,1
RZEE2,"Razée",,47.21495313,-1.46606598,,,0,RZEE,1
SAD58,"Santos Dumont",,47.25902233,-1.56762606,,,0,SADU,2
SAD59,"Santos Dumont",,47.25902680,-1.56749409,,,0,SADU,2
SADU1,"Santos Dumont",,47.25953906,-1.56832529,,,0,SADU,1
SADU2,"Santos Dumont",,47.25937277,-1.56791625,,,0,SADU,1
SADU3,"Santos Dumont",,47.25950282,-1.56673508,,,0,SADU,1
SADU4,"Santos Dumont",,47.25941297,-1.56672852,,,0,SADU,2
SAGL1,"St-Aignan de Grand Lieu",,47.12305797,-1.63491975,,,0,SAGL,1
SAGL2,"St-Aignan de Grand Lieu",,47.12306706,-1.63465649,,,0,SAGL,2
SAIG1,"St-Aignan",,47.20803766,-1.57844471,,,0,SAIG,1
SAIG2,"St-Aignan",,47.20813199,-1.57831944,,,0,SAIG,1
SALE1,"Salentine",,47.24856478,-1.61024769,,,0,SALE,1
SALE3,"Salentine",,47.24865011,-1.61038626,,,0,SALE,1
